piCID,Chromosome,Start,End,Strand,ClusterName,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57
piC185,15,74636388,74658911,+,15-qD3-14639,43811,45933,68891,75868,63182,75155,108673,34537,693317,677820,679375,594147,747782,659134,714708,704629,652902,583055
piC186,15,78647685,78670532,-,15-qE1-8387,18078,17568,27595,29826,18920,21974,32146,11909,258011,256034,252269,273356,345017,303666,339295,303458,311568,278308
piC187,15,79928006,79963233,+,15-qE1-1119,2576,2175,3667,4138,3582,3729,5030,2301,31802,30427,30899,34381,43103,38626,50515,41995,25232,23013
piC188,15,81802718,81826859,+,pi-Tef,2460,1669,4085,2060,6127,4874,5493,3682,459,440,460,591,644,533,516,504,714,593
piC189,15,83353848,83367280,-,15-qE1-3710,22447,19112,35701,28836,26572,29261,42150,14126,180246,173813,174725,170158,210711,186941,182741,171344,191692,170457
piC190,15,88955891,88982677,-,pi-Mlc1,394,336,724,569,573,500,811,335,5602,4966,5418,5088,6299,5485,5369,4808,5025,4110
piC191,15,89499857,89560260,+,pi-Shank3,793,526,1161,667,2472,1801,2260,1602,97,61,70,62,68,67,110,150,72,56
piC192,15,100575319,100580234,-,pi-Pou6f1,560,424,830,694,1388,1316,1920,684,11922,10182,11248,5568,6803,5757,3682,3351,6783,5521
piC193,15,103191553,103240756,-,pi-Cbx5,3350,2222,5472,2455,7757,7034,8427,4607,2400,2176,2301,2809,3397,2932,2995,2752,2472,2175
piC194,16,16896457,16927358,+,pi-Ppm1f,1768,1084,2949,1123,4221,3582,4014,2706,175,146,165,121,158,105,134,145,187,146
piC195,16,17233587,17263430,+,pi-Hic2,1837,1125,2857,1359,4122,3337,3644,2428,1072,954,1054,1100,1234,1207,1241,1159,1051,989
piC196,16,17451967,17487432,+,pi-Crkl,2589,1620,3865,1784,4141,3863,4626,2638,1229,1104,1241,1404,1728,1579,1650,1416,1900,1591
piC197,16,24393446,24992575,+,pi-Lpp,2022,1347,3707,1597,3154,2904,3367,1767,393,431,377,440,522,421,491,371,533,507
piC198,16,43964766,43979755,-,pi-Zdhhc23,1511,713,2049,1041,1917,1575,1938,1059,1690,1564,1603,1672,1990,1683,1052,1181,1527,1371
piC199,17,22497402,22522100,+,17-qA3.3-352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC200,17,24961292,25015587,-,pi-Cramp1l,3640,2298,5799,2452,7157,6112,7205,4619,945,881,956,1043,1273,1099,750,698,741,592
piC201,17,27288276,27325028,-,17-qA3.3-27363,94287,137483,182302,159490,561875,631096,929272,245842,1725179,1807433,1660744,1008527,1289633,1105265,1089109,997382,1532282,1297164
piC202,17,27325197,27367483,+,17-qA3.3-26735,129687,208413,278897,213249,420988,475874,712652,168719,1671556,1832874,1612329,1123929,1443646,1218796,1082226,1014993,1903738,1587752
piC203,17,27856507,27900040,+,pi-Uhrf1bp1,1211,756,1914,869,1918,1690,2019,1285,70,71,65,43,39,40,41,52,54,49
piC204,17,49112271,49113511,-,17-qC-935,1670,2369,3031,2748,2687,2998,4455,1602,28954,27119,27310,16071,20349,16980,26414,24185,18049,15392
piC205,17,50237659,50247541,+,17-qC-59,151,155,275,280,127,168,216,103,1018,936,954,1504,1920,1533,3082,2892,2007,1762
piC206,17,66206812,66231758,+,17-qE1.1-7037,14532,12668,21546,22989,16726,20391,29740,11281,229053,223251,225018,240095,302202,268008,253644,242394,242115,218503
piC207,17,79333729,79354890,-,pi-Cdc42ep3,241,160,329,317,67,69,93,56,4925,4458,4917,3444,4457,3996,5107,3999,3109,2745
piC208,17,83574024,83632446,-,pi-Kcng3,1458,863,2365,993,4992,4177,4978,2761,118,115,125,106,137,91,179,150,96,75
piC209,18,60684495,60748654,-,pi-Ndst1,2426,1657,3689,1797,6351,5294,6227,3837,171,142,149,149,197,188,189,198,175,140
piC210,18,67029447,67066460,-,18-qE1-36451,52749,35147,74852,87521,54510,61652,83774,41973,1078729,990663,1044589,899024,1136324,993804,1238613,1095605,1168743,1070623
piC211,18,67066588,67084379,+,18-qE1-1295,2537,2184,3884,4541,1862,2232,3088,1441,43460,43676,41098,40589,50490,44744,45426,43377,38958,33816
piC212,19,9982704,9985092,+,pi-Fth1,28001,19641,39532,20149,23128,23018,24446,21550,883,1000,877,1366,1772,1445,1007,777,1217,1148
piC213,19,37254674,37263866,-,19-qC2-1361,3351,1416,3135,6173,2136,2264,2656,2032,42672,37306,43159,36293,46175,40940,55503,44763,46988,41591
piC214,19,44562848,44576272,+,pi-Hif1an,2390,1598,4045,1808,5549,4819,5618,3251,402,389,368,461,636,508,495,362,530,425
